Brand,Name,Codename,Cores,Clock,Socket,Process,L3Cache,TDP,Released
Intel,Core 2 Duo T8300,Penryn,2,2.4 GHz,Socket P,45 nm,N/A,35 W,"Jan 7th, 2008"
Intel,Core 2 Duo T9300,Penryn,2,2.5 GHz,Socket P,45 nm,N/A,35 W,"Jan 7th, 2008"
Intel,Core 2 Duo T9400,Penryn,2,2.533 GHz,Socket P,45 nm,N/A,35 W,"Jul 15th, 2008"
Intel,Core 2 Duo T9500,Penryn,2,2.6 GHz,Socket P,45 nm,N/A,35 W,"Jan 7th, 2008"
Intel,Core 2 Duo T9550,Penryn,2,2.667 GHz,Socket P,45 nm,N/A,35 W,"Dec 28th, 2008"
Intel,Core 2 Duo T9600,Penryn,2,2.8 GHz,Socket P,45 nm,N/A,35 W,"Jul 15th, 2008"
Intel,Core 2 Duo T9800,Penryn,2,2.933 GHz,Socket P,45 nm,N/A,35 W,"Dec 28th, 2008"
Intel,Core 2 Duo U7500,Merom,2,1073 MHz,Socket P,65 nm,N/A,10 W,"Feb 27th, 2008"
Intel,Core 2 Duo U7700,Merom,2,1333 MHz,Socket P,65 nm,N/A,10 W,"Feb 27th, 2008"
Intel,Core 2 Extreme QX9300,Penryn QC XE,4,2.534 GHz,Socket P,45 nm,N/A,45 W,"Aug 1st, 2008"
Intel,Core 2 Extreme QX9770,Yorkfield,4,3.2 GHz,Socket 775,45 nm,N/A,136 W,"Mar 24th, 2008"
Intel,Core 2 Extreme QX9775,Yorkfield,4,3.2 GHz,Socket 771,45 nm,N/A,150 W,"Mar 24th, 2008"
Intel,Core 2 Extreme X9000,Penryn XE,2,2.8 GHz,Socket P,45 nm,N/A,44 W,"Jan 7th, 2008"
Intel,Core 2 Extreme X9100,Penryn XE,2,3.067 GHz,Socket P,45 nm,N/A,44 W,"Jul 1st, 2008"
Intel,Core 2 Quad Q8200,Yorkfield,4,2.333 GHz,Socket 775,45 nm,N/A,95 W,"Aug 31st, 2008"
Intel,Core 2 Quad Q8300,Yorkfield,4,2.5 GHz,Socket 775,45 nm,N/A,95 W,"Nov 30th, 2008"
Intel,Core 2 Quad Q9100,Penryn QC,4,2.267 GHz,Socket P,45 nm,N/A,45 W,"Aug 1st, 2008"
Intel,Core 2 Quad Q9300,Yorkfield,4,2.5 GHz,Socket 775,45 nm,N/A,95 W,"Mar 10th, 2008"
Intel,Core 2 Quad Q9400,Yorkfield,4,2.666 GHz,Socket 775,45 nm,N/A,95 W,"Aug 10th, 2008"
Intel,Core 2 Quad Q9450,Yorkfield,4,2.666 GHz,Socket 775,45 nm,N/A,95 W,"Mar 25th, 2008"
Intel,Core 2 Quad Q9550,Yorkfield,4,2.833 GHz,Socket 775,45 nm,N/A,95 W,"Mar 25th, 2008"
Intel,Core 2 Quad Q9650,Yorkfield,4,3 GHz,Socket 775,45 nm,N/A,95 W,"Aug 10th, 2008"
Intel,Core 2 Solo ULV SU3300,Penryn-L,1,1200 MHz,BGA 956,45 nm,N/A,5 W,"May 1st, 2008"
Intel,Core i7-920,Bloomfield,4 / 8,2.666 to 2.933 GHz,Socket 1366,45 nm,8MB,130 W,"Nov 17th, 2008"
Intel,Core i7-940,Bloomfield,4 / 8,2.933 to 3.2 GHz,Socket 1366,45 nm,8MB,130 W,"Nov 17th, 2008"
Intel,Core i7-965,Bloomfield,4 / 8,3.2 to 3.466 GHz,Socket 1366,45 nm,8MB,130 W,"Nov 17th, 2008"
Intel,Pentium Dual-Core E2220,Allendale,2,2.4 GHz,Socket 775,65 nm,N/A,65 W,"Mar 2nd, 2008"
Intel,Pentium E5200,Wolfdale,2,2.5 GHz,Socket 775,45 nm,N/A,65 W,"Aug 31st, 2008"
Intel,Pentium E5300,Wolfdale,2,2.6 GHz,Socket 775,45 nm,N/A,65 W,"Nov 30th, 2008"
Intel,Atom CE4100,Sodaville,1,1200 MHz,BGA 951,45 nm,N/A,7 W,"Sep 24th, 2009"
Intel,Atom CE4130,Sodaville,1,1200 MHz,BGA 951,45 nm,N/A,7 W,"Sep 24th, 2009"
Intel,Atom CE4150,Sodaville,1,1200 MHz,BGA 951,45 nm,N/A,7 W,"Sep 24th, 2009"
Intel,Atom D510,Pineview,2 / 4,1667 MHz,BGA 437,45 nm,N/A,13 W,"Dec 21st, 2009"
Intel,Atom N450,Pineview,1 / 2,1667 MHz,BGA 559,45 nm,N/A,6 W,"Dec 21st, 2009"
Intel,Atom Z510P,Silverthorne,1 / 2,1100 MHz,BGA 437,45 nm,N/A,2 W,"Mar 2nd, 2009"
Intel,Atom Z510PT,Silverthorne,1 / 2,1100 MHz,BGA 437,45 nm,N/A,2 W,"Mar 2nd, 2009"
Intel,Atom Z515,Silverthorne,1,1200 MHz,BGA 441,45 nm,N/A,1 W,"Apr 8th, 2009"
Intel,Atom Z520PT,Silverthorne,1 / 2,1334 MHz,BGA 437,45 nm,N/A,2 W,"Mar 2nd, 2009"
Intel,Atom Z530P,Silverthorne,1 / 2,1600 MHz,BGA 437,45 nm,N/A,2 W,"Mar 2nd, 2009"
Intel,Atom Z550,Silverthorne,1 / 2,2000 MHz,BGA 441,45 nm,N/A,2 W,"Apr 8th, 2009"
Intel,Celeron E1600,Allendale,2,2.4 GHz,Socket 775,65 nm,N/A,65 W,"May 31st, 2009"
Intel,Celeron E3200,Wolfdale,2,2.4 GHz,Socket 775,45 nm,N/A,65 W,"Aug 30th, 2009"
Intel,Celeron E3300,Wolfdale,2,2.5 GHz,Socket 775,45 nm,N/A,65 W,"Aug 30th, 2009"
Intel,Core 2 Duo E7500,Wolfdale,2,2.933 GHz,Socket 775,45 nm,N/A,65 W,"Jan 10th, 2009"
Intel,Core 2 Duo E7600,Wolfdale,2,3.067 GHz,Socket 775,45 nm,N/A,65 W,"May 10th, 2009"
Intel,Core 2 Duo E8135,Penryn,2,2.667 GHz,Socket P,45 nm,N/A,44 W,"Mar 3rd, 2009"
Intel,Core 2 Duo E8235,Penryn,2,2.8 GHz,Socket P,45 nm,N/A,44 W,"Mar 3rd, 2009"
Intel,Core 2 Duo E8335,Penryn,2,2.933 GHz,Socket P,45 nm,N/A,44 W,"Mar 3rd, 2009"
Intel,Core 2 Duo E8435,Penryn,2,3.067 GHz,Socket P,45 nm,N/A,44 W,"Mar 3rd, 2009"
Intel,Core 2 Duo P9700,Penryn,2,2.8 GHz,Socket P,45 nm,N/A,28 W,"Jun 2nd, 2009"
Intel,Core 2 Duo T9900,Penryn,2,3.067 GHz,Socket P,45 nm,N/A,35 W,"Jun 2nd, 2009"
Intel,Core 2 Quad Q7600,Yorkfield,4,2.7 GHz,Socket 775,45 nm,N/A,95 W,"Aug 31st, 2009"
Intel,Core 2 Quad Q8200S,Yorkfield,4,2.333 GHz,Socket 775,45 nm,N/A,65 W,"Jan 18th, 2009"
Intel,Core 2 Quad Q8400,Yorkfield,4,2.666 GHz,Socket 775,45 nm,N/A,95 W,"Apr 19th, 2009"
Intel,Core 2 Quad Q8400S,Yorkfield,4,2.666 GHz,Socket 775,45 nm,N/A,65 W,"Apr 19th, 2009"
Intel,Core 2 Quad Q9400S,Yorkfield,4,2.666 GHz,Socket 775,45 nm,N/A,65 W,"Jan 18th, 2009"
Intel,Core 2 Quad Q9505,Yorkfield,4,2.833 GHz,Socket 775,45 nm,N/A,95 W,2009
Intel,Core 2 Quad Q9550S,Yorkfield,4,2.833 GHz,Socket 775,45 nm,N/A,65 W,"Jan 27th, 2009"
Intel,Core 2 Solo ULV SU3500,Penryn-L,1,1400 MHz,BGA 956,45 nm,N/A,5 W,"Mar 29th, 2009"
Intel,Core i5-750,Lynnfield,4,2.666 to 3.2 GHz,Socket 1156,45 nm,8MB,95 W,"Sep 8th, 2009"
